Chromosome,Arm,Band,Abnormality,CaseCount,Type,Morph_code
11,p,11,del,3,unbalanced,1101
11,q,10,i,2,unbalanced,3121
11,q,10,i,5,unbalanced,3131
11,q,22,del,3,unbalanced,1507
11,p,11,del,5,unbalanced,8137
11,q,24,dup,2,unbalanced,1101
11,q,24,der,2,unbalanced,8740
11,q,24,der,7,unbalanced,8740
11,q,24,der,3,unbalanced,1602
11,q,24,der,2,unbalanced,8740
11,q,24,der,2,unbalanced,1505
11,q,24,der,2,unbalanced,1101
11,q,24,del,2,unbalanced,1814
11,q,24,del,2,unbalanced,1802
11,q,24,dup,2,unbalanced,1820
11,q,24,del,2,unbalanced,1602
11,p,11,del,3,unbalanced,5213
11,p,11,del,3,unbalanced,3135
11,q,11,add,3,unbalanced,1802
11,q,11,add,2,unbalanced,3111
11,p,11,del,7,unbalanced,1101
11,p,11,del,3,unbalanced,1102
11,p,11,del,3,unbalanced,1103
11,p,11,del,2,unbalanced,1106
11,p,11,del,4,unbalanced,1112
11,p,11,del,6,unbalanced,1113
11,p,11,del,5,unbalanced,5104
11,p,11,del,6,unbalanced,1602
11,p,11,del,3,unbalanced,1808
11,p,11,del,3,unbalanced,1902
11,p,11,del,2,unbalanced,1922
11,p,11,del,4,unbalanced,3111
11,p,11,del,2,unbalanced,3111
11,p,11,del,4,unbalanced,3111
11,p,11,del,5,unbalanced,3121
11,p,11,del,4,unbalanced,3121
11,p,11,del,5,unbalanced,1702
11,q,24,del,2,unbalanced,1501
11,q,24,del,4,unbalanced,1101
11,q,24,del,3,unbalanced,1602
11,q,24,add,5,unbalanced,1101
11,q,24,t,2,balanced,8740
11,q,24,t,6,balanced,8740
11,q,24,t,27,balanced,8740
11,q,24,t,236,balanced,8740
11,q,24,t,2,balanced,8740
11,q,24,t,6,balanced,8740
11,q,24,t,2,balanced,8740
11,q,24,add,2,unbalanced,1103
11,q,24,t,2,balanced,8740
11,q,24,t,2,balanced,8740
11,q,24,t,6,balanced,5230
11,q,24,t,4,balanced,5230
11,q,24,t,2,balanced,8740
11,q,24,t,2,balanced,8740
11,q,24,t,2,balanced,1505
11,q,24,t,2,balanced,1602
11,q,24,t,2,balanced,1602
11,q,24,t,7,balanced,8740
11,q,24,add,3,unbalanced,1107
11,q,24,add,2,unbalanced,1509
11,q,24,add,8,unbalanced,1602
11,q,24,del,2,unbalanced,1109
11,q,24,del,9,unbalanced,1802
11,q,24,del,2,unbalanced,1602
11,q,24,del,2,unbalanced,1108
11,q,24,del,2,unbalanced,1104
11,q,24,del,13,unbalanced,1802
11,q,24,del,3,unbalanced,1101
11,q,24,del,13,unbalanced,1802
11,q,24,del,3,unbalanced,1602
11,q,24,del,5,unbalanced,1802
11,q,24,del,2,unbalanced,1602
11,q,24,del,2,unbalanced,1507
11,q,24,add,2,unbalanced,8740
11,q,24,add,2,unbalanced,6011
11,q,24,add,2,unbalanced,1906
11,q,24,add,4,unbalanced,1822
11,q,24,add,2,unbalanced,1810
11,q,24,add,3,unbalanced,1802
11,q,24,add,4,unbalanced,1702
11,q,11,add,2,unbalanced,1702
11,p,11,add,3,unbalanced,8804
11,p,11,add,2,unbalanced,8622
11,p,11,add,3,unbalanced,8516
11,q,25,add,2,unbalanced,3905
11,q,25,add,6,unbalanced,3903
11,q,25,add,2,unbalanced,3121
11,q,25,add,4,unbalanced,3111
11,q,25,add,2,unbalanced,3111
11,q,25,add,3,unbalanced,3111
11,q,25,add,3,unbalanced,3111
11,q,25,add,2,unbalanced,3104
11,q,25,add,3,unbalanced,5213
11,q,25,add,5,unbalanced,1926
